week_,type_,show_title,season_title,weekly_hours_viewed,rating_,category_,prod_country_
2022-03-13,Films (English),The Adam Project,N/A,92430000,TV-MA,"Action & Adventure, Sci-Fi & Fantasy",United States
2022-03-13,Films (English),The Weekend Away,N/A,26260000,TV-MA,Crime Movies,United States
2022-03-13,Films (English),Against The Ice,N/A,12730000,,,
2022-03-13,Films (English),Shrek,N/A,10380000,PG,"Comedies, Action & Adventure",United States
2022-03-13,Films (English),Shrek 2,N/A,9900000,PG,"Comedies, Action & Adventure",United States
2022-03-13,Films (English),A Madea Homecoming,N/A,9030000,TV-MA,Comedies,United States
2022-03-13,Films (English),Shooter,N/A,7390000,TV-14,"Crime TV Shows, TV Action & Adventure, TV Dramas",United States
2022-03-13,Films (English),Spider-Man: Into the Spider-Verse,N/A,5910000,PG,"Action & Adventure, Comedies",United States
2022-03-13,Films (English),Despicable Me 2,N/A,5720000,,,
2022-03-13,Films (English),Coach Carter,N/A,5450000,PG-13,"Dramas, Sports Movies","United States, Germany"
2022-03-13,Films (Non-English),The Bombardment,N/A,19290000,,,
2022-03-13,Films (Non-English),The Pirates: The Last Royal Treasure,N/A,12230000,,,
2022-03-13,Films (Non-English),Restless,N/A,6990000,,,
2022-03-13,Films (Non-English),Badhaai Do,N/A,5640000,,,
2022-03-13,Films (Non-English),Chernobyl 1986,N/A,5330000,TV-MA,Documentaries,Russia
2022-03-13,Films (Non-English),Meskina,N/A,4190000,,,
2022-03-13,Films (Non-English),Through My Window,N/A,3580000,PG-13,Romantic Movies,Spain
2022-03-13,Films (Non-English),The Invisible Thread,N/A,3140000,,,
2022-03-13,Films (Non-English),Love Tactics,N/A,2620000,,,
2022-03-13,Films (Non-English),Black Beach,N/A,1600000,TV-MA,"Action & Adventure, International Movies","Spain, Belgium, United States"
2022-03-13,TV (English),PIECES OF HER,PIECES OF HER: Season 1,95720000,TV-PG,Crime TV Shows,United States
2022-03-13,TV (English),The Last Kingdom,The Last Kingdom: Season 5,63540000,TV-MA,"British TV Shows, International TV Shows, TV Action & Adventure",United Kingdom
2022-03-13,TV (English),Inventing Anna,Inventing Anna: Limited Series,51840000,TV-PG,Drama,United States
2022-03-13,TV (English),Vikings: Valhalla,Vikings: Valhalla: Season 1,41760000,TV-PG,Action & Adventure,United States
